Cod_Proyecto|Construccion|Materiales|SistConstruc|ElemConstruc|ProcConstruc|ProdConstruc|AguaPotable|AguaServidas|Basura|DispExcretas|BioEnerRenov|Saneamiento|EnergiasAlternas|RedesSistemas|SistemasInformacionC|RedesDistAgua|SistemasInformacionA|Eolica|Solar|Fotovoltaica|Biogas|Biodisel|Biocombustibles|Hidraulica|Geotermica|Biomasa|SistemasInformacionE
GU312III-IVP00aT00|False|False|False|False|False|False|False|False|False|False|True|False|True|True|False|False|False|False|True|True|False|False|True|True|True|False|True
ML003II-IVP00hT00|False|False|False|False|False|False|True|True|True|False|False|True|False|True|False|False|True|False|False|False|False|False|False|False|False|False|False
ML057IIP03T01|False|False|False|False|False|True|False|False|False|False|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False
ORG187IIP01T00|False|False|False|False|False|False|False|False|False|False|False|True|False|True|False|False|True|False|False|False|False|False|False|False|False|False|False
PE003IIP03T01|False|False|False|False|False|True|False|True|False|False|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False
PE003IIP07T00|False|False|False|False|False|False|True|True|False|False|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False
PE003IIP09T00|False|False|False|False|False|False|False|True|False|False|False|True|False|True|False|False|True|False|False|False|False|False|False|False|False|False|False
PE003IIP10T00|False|False|False|False|False|False|False|True|False|False|False|True|False|True|False|False|True|False|False|False|False|False|False|False|False|False|False
PE003IIP11T00|False|False|False|False|False|False|False|True|False|False|False|True|False|True|False|False|True|False|False|False|False|False|False|False|False|False|False
PE009I-IVP00cT00|True|False|False|False|True|False|False|False|False|False|False|False|False|True|True|False|False|False|False|False|False|False|False|False|False|False|False
PE009IIIP11T01|False|False|False|False|False|True|False|False|False|False|False|False|True|False|False|False|False|False|False|False|False|False|False|True|False|False|False
PE009IIP04T00|False|False|False|False|False|False|False|True|False|False|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False
